"","P2","P3","P4","P6_9","P8_1","P8_2","P8_3","P8_4","P8_5","P9_2","P9_4","P9_5","P10_1","P10_2","P11_1","P11_2","P11_3","P11_6","P17_4","P17_6","P17_18","P18_2","P18_3","P18_4","P20_1","P20_2","P20_4","P20_5","P20_6","P20_7","P20_10","P34_5","P34_9","P36_2","P36_3","P36_4","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P41_1","P41_2","P41_3","P41_4","P41_5","P41_6","P41_7","P41_8","P45_1","P45_2","P45_3","P46_1","P46_2","P46_3","P46_4","P46_5","P47_1","P47_2","P47_3","P47_4"
"P2",NA,0.023,0.042,0.752,0.805,0.002,0.651,0.031,0.608,0.134,0.471,0.522,0.724,0.05,0.105,0.491,0.702,0.117,0.328,0.196,0.364,0.385,0.869,0.694,0.835,0.767,0.581,0.471,0.526,0.459,0.08,0.553,0.689,0.921,0.72,0.069,0.306,0.306,0.463,0.285,0.715,0.304,0,0.47,0.511,0.463,0.669,0.879,0.531,0.183,0.94,0.064,0.994,0.65,0.613,0.722,0.342,0.214,0.023,0.101,0.033,0.059
"P3",0.023,NA,0.998,0.955,0.986,0.007,0.541,0.968,0.074,1,0.614,0.061,1,0.146,0.054,1,1,0.788,0.495,0.299,0.007,0.03,0.158,0.182,1,0.128,0.968,0.614,0.864,0.715,1,0.166,0.842,0.192,0.9,0.038,0.81,0.616,1,0.011,0.217,0.131,1,0.797,1,0.238,0.938,1,0.075,0.97,0.918,0.575,0.28,0.288,0.262,0.884,0.996,0.14,0.547,1,0.548,0.881
"P4",0.042,0.998,NA,0.446,0.325,0.67,0.252,0.137,0.196,0.518,0.529,0.601,0.979,0.498,0.101,0.271,0.273,0.035,0.751,0.034,0,0.221,0.302,0.77,0.529,0.852,0.623,0.529,0.21,0.203,0.278,0.623,0.902,0.397,0.91,0.821,0.744,0.061,0.536,0.127,0.391,0.264,0.591,0.14,0.209,0.953,0.302,0.131,0.664,0.01,0.833,0.106,0.91,0.023,0.386,0.752,0.371,0.979,0.224,0.097,0.321,0.684
"P6_9",0.752,0.955,0.446,NA,0.513,0.721,0.542,0.931,0.854,0.098,0.315,0.577,0.72,0.664,0.495,0.645,0.849,0.294,0,0,0.04,0.332,0.767,0.593,0.651,0.483,0.747,0.942,0.382,0.313,0.287,0.001,0.02,0.549,0.676,0.986,0.095,0.462,0.534,0.243,0.065,0.541,0.356,0.327,0.128,0.227,0.629,0.547,0.676,0.243,0.449,0.128,0.859,0.303,0.571,0.495,0.72,0.903,0.155,0.061,0.406,0.232
"P8_1",0.805,0.986,0.325,0.513,NA,1,0.113,0.349,0.581,1,1,0.432,0.735,1,0.568,0.489,0.574,0.928,0.366,0.835,0.632,0.96,1,0.273,1,0.844,1,1,1,0.347,0.083,0.051,0.63,0.846,0.153,0.056,0.314,0.136,0.825,0.96,1,0.817,0.507,1,0.204,0.61,0.696,0.467,0.153,0.347,0.572,0.703,0.202,0.993,0.506,1,0.735,1,0.153,0.162,0.047,0.089
"P8_2",0.002,0.007,0.67,0.721,1,NA,0.07,1,0.577,0.367,1,0.664,1,0.988,0.001,0.881,1,0.738,0.794,0.699,0.809,0.018,0.89,0.738,1,1,1,0.76,0.289,1,0.32,0.638,0.97,0.378,0.004,0.136,0.052,0.478,1,0.284,1,1,0.123,0.503,1,0.246,1,0.478,0.378,0.437,0.816,1,1,1,1,1,0.21,0.055,0.317,1,0.49,0.179
"P8_3",0.651,0.541,0.252,0.542,0.113,0.07,NA,0.892,0.875,0.081,0.578,0.451,0.188,1,0.098,0.685,0.779,1,0.337,0.201,0.966,0.802,1,0.546,1,0.209,0.068,0.578,0.965,0.785,0.441,0.591,0.398,0.201,1,0.603,0.458,0.476,1,0.429,0.779,0.415,0.371,0.186,0.317,0.809,1,0.532,0.079,0.596,0.603,0.076,0.201,1,0.965,0.053,0.854,0.25,0.079,0.898,0.924,0.994
"P8_4",0.031,0.968,0.137,0.931,0.349,1,0.892,NA,0.328,1,1,0.814,1,1,1,0.935,1,1,0.483,0.953,0.683,0.561,0.94,0.633,0.861,0.667,1,1,0.924,0.479,1,0.147,0.942,0.414,0.222,0.853,0.681,0.924,0.866,0.561,1,1,0.137,1,0.031,0.866,0.096,0.924,0.222,0.309,0.264,0.237,1,1,0.745,0.389,0.497,0.335,0.84,1,1,0.667
"P8_5",0.608,0.074,0.196,0.854,0.581,0.577,0.875,0.328,NA,1,0.579,0,1,1,0.818,0.474,0.988,0.694,0.34,0.302,0.335,0.577,0.59,1,0.444,0.447,0.762,1,1,0.748,1,0.023,0.691,0.626,1,1,0.769,0.462,0.883,0.308,1,0.428,1,1,0.271,1,1,0.462,0.228,0.774,1,0.256,0.095,0.038,0.884,0.271,0.121,0.043,0.626,0.133,1,1
"P9_2",0.134,1,0.518,0.098,1,0.367,0.081,1,1,NA,1,0.152,0.86,1,0.766,0.923,1,0.448,0.069,0.252,0.046,0.067,1,0.06,0.895,1,0.989,1,1,0.156,0.367,0.566,0.077,1,0.702,0.418,0.002,0.438,0.62,0.979,1,0.86,0.39,1,1,1,0.813,1,0.702,0.483,0.461,1,0.702,0.812,0.563,0.654,0.86,1,0.644,1,0.428,0.257
"P9_4",0.471,0.614,0.529,0.315,1,1,0.578,1,0.579,1,NA,1,1,1,1,1,0.112,0.669,0.194,0.852,0.202,1,1,0.216,0.29,0.202,1,1,1,0.688,1,0.935,0.989,0.909,0.909,0.139,0.695,1,0.494,1,1,0.823,0.727,0.619,0.936,1,1,1,0.065,1,1,1,1,1,1,0.936,0.041,1,0.909,0.287,0.272,0.202
"P9_5",0.522,0.061,0.601,0.577,0.432,0.664,0.451,0.814,0,0.152,1,NA,0.722,1,0.509,0.01,1,0.037,0.324,0.22,0.401,0.893,0.137,0.99,0.697,1,1,1,0.06,1,0.664,0.612,0.835,0.689,0.689,0.196,0.894,0.756,0.369,0.204,1,0.148,0.967,0.129,0.005,0.369,1,0.756,0.689,0.124,0.077,0.016,0.007,0.002,0.126,0.076,0.011,0.066,0.358,0.124,0.217,0.566
"P10_1",0.724,1,0.979,0.72,0.735,1,0.188,1,1,0.86,1,0.722,NA,0.921,0.202,0.659,1,1,0.544,0.744,0.981,0.553,0.993,0.371,1,0.956,0.693,0.823,0.743,0.369,1,0.284,0.665,0.485,0.923,1,0.161,1,0.73,0.466,0.74,0.419,0.659,0,1,1,1,0.603,1,1,0.311,0.491,0.613,0.899,0.663,1,0.862,0.77,1,0.159,0.011,0.956
"P10_2",0.05,0.146,0.498,0.664,1,0.988,1,1,1,1,1,1,0.921,NA,0.312,0.347,0.234,0.41,0.365,0.032,0.543,0.988,1,0.552,1,0.526,0.403,1,1,1,1,0.024,0.072,0.228,0.83,0.397,0.971,1,1,1,1,0.162,1,1,1,0.717,1,1,1,1,0.65,1,1,1,0.215,0.802,1,1,1,0.107,0.445,1
"P11_1",0.105,0.054,0.101,0.495,0.568,0.001,0.098,1,0.818,0.766,1,0.509,0.202,0.312,NA,0.716,1,0.315,0.777,0.402,0.848,0,0.928,0.248,1,0.787,0.304,1,0.985,0.979,0.483,0.178,0.731,0.665,0.608,0.181,0.162,0.517,0.343,0.391,1,0.472,0.12,0.926,0.864,0.026,1,0.492,0.168,0.708,0.971,0.271,0.608,1,0.534,0.27,0.781,0.848,0.665,0.408,0.146,1
"P11_2",0.491,1,0.271,0.645,0.489,0.881,0.685,0.935,0.474,0.923,1,0.01,0.659,0.347,0.716,NA,0.095,0.039,0.677,0.399,0.709,0.881,1,0.639,1,0.557,0.383,0.116,0.031,0.45,0.662,0.288,0.312,0.821,1,0.441,0.377,0.915,0.668,0.662,1,1,0.928,0.068,0.255,1,0.747,1,0.821,1,0.025,0.502,0.4,0.259,0.076,0.933,0.003,0.279,0.018,0.227,0.182,0.127
"P11_3",0.702,1,0.273,0.849,0.574,1,0.779,1,0.988,1,0.112,1,1,0.234,1,0.095,NA,0.258,0.786,0.625,0.229,0.808,1,0.021,1,0.018,0.005,0.112,0.831,0.319,1,0.056,0.757,0.044,1,0.007,0.399,0.831,0.07,1,1,0.332,1,0.144,0.052,0.07,0.702,0.05,0.044,1,1,0.028,0.649,1,0.108,0.469,0.332,1,0.044,0.041,0.298,0.201
